 Chr ,Chronicles
 Kgs ,Kings
 Sam ,Samuel
 Tim ,new testament
"	 Chr ",Chronicles
"	 Cor ",new testament
"	 Kgs ",Kings
"	 Pet ",new testament
"	 Sam ",Samuel
"	 Thes ",new testament
"	 Tim ",new testament
"	Acts ",new testament
"	Amos ",Amos
"	Col ",new testament
"	Dan ",Daniel
"	Deut ",Deuteronomy
"	Est ",Esther
"	Ex ",Exodus
"	Ezek ",Ezekiel
"	Ezra ",Ezra
"	Gal ",new testament
"	Gen ",Genesis
"	Hab ",Habakkuk
"	Heb ",new testament
"	Hos ",Hosea
"	Isa ",Isaiah
"	Jer ",Jeremiah
"	Job ",Job
"	Joel ",Joel
"	John ",new testament
"	Jonah ","	Jonah "
"	Josh ",Joshua
"	Jud",Judges
"	Lam ",Lamentations
"	Lev ",Leviticus
"	Luke ",new testament
"	Mark ",new testament
"	Matt ",new testament
"	Mic ",Micah
"	Neh ",Nehemiah
"	Num ",Numbers
"	Obad ",Obadiah
"	Phil ",new testament
"	Ps ",Psalms
"	Rev ",new testament
"	Rom ",new testament
"	Ruth ","	Rut"
"	Sng ",Song of Songs
"	Titus ",new testament
"	Zech ",Zechariah
"	Zeph ",
Judg ,
